"number","date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"1",2015-02-11 14:48:00,21.76,31.1333333333333,437.333333333333,1029.66666666667,0.00502101089021385,1
"2",2015-02-11 14:49:00,21.79,31,437.333333333333,1000,0.00500858127480172,1
"3",2015-02-11 14:50:00,21.7675,31.1225,434,1003.75,0.0050215691326541,1
"4",2015-02-11 14:51:00,21.7675,31.1225,439,1009.5,0.0050215691326541,1
"5",2015-02-11 14:51:59,21.79,31.1333333333333,437.333333333333,1005.66666666667,0.00503029777867882,1
"6",2015-02-11 14:53:00,21.76,31.26,437.333333333333,1014.33333333333,0.00504160456530272,1
"7",2015-02-11 14:54:00,21.79,31.1975,434,1018.5,0.00504074938235223,1
"8",2015-02-11 14:55:00,21.79,31.3933333333333,437.333333333333,1018.66666666667,0.00507264928829298,1
"9",2015-02-11 14:55:59,21.79,31.3175,434,1022,0.00506029617368585,1
"10",2015-02-11 14:57:00,21.79,31.4633333333333,437.333333333333,1027.33333333333,0.00508405259531726,1
"11",2015-02-11 14:57:59,21.79,31.525,437.75,1047.75,0.00509409870941305,1
"12",2015-02-11 14:58:59,21.79,31.575,441.75,1049,0.00510224444363126,1
"13",2015-02-11 15:00:00,21.79,31.395,442,1061.5,0.00507292079078337,1
"14",2015-02-11 15:01:00,21.79,31.3925,441.75,1049,0.00507251353713595,1
"15",2015-02-11 15:02:00,21.79,31.5,441.5,1048,0.00509002592166009,1
"16",2015-02-11 15:03:00,21.815,31.5,438,1049.25,0.00509786935872823,1
"17",2015-02-11 21:47:00,20.745,29.39,0,492.5,0.0044496513392958,0
"18",2015-02-11 21:48:00,20.745,29.29,0,486,0.00443440338391366,0
"19",2015-02-11 21:49:00,20.7,29.39,0,495,0.0044372461518178,0
"20",2015-02-11 21:49:59,20.7,29.34,0,494.5,0.00442964348679036,0
